time,wx (rad/s),wy (rad/s),wz (rad/s)
0.005583,0.01,-0.32,0.05
0.005905,0.00,-0.29,0.05
0.006146,-0.01,-0.27,0.05
0.006393,-0.03,-0.22,0.06
0.006592,-0.04,-0.19,0.06
0.006792,-0.06,-0.14,0.06
0.006981,-0.08,-0.09,0.06
0.007170,-0.09,-0.06,0.06
0.010421,-0.10,-0.01,0.06
0.011754,-0.12,0.05,0.05
0.012773,-0.12,0.07,0.05
0.029830,-0.13,0.12,0.05
0.030626,-0.14,0.16,0.04
0.031039,-0.15,0.18,0.04
0.031268,-0.16,0.21,0.03
0.031545,-0.16,0.24,0.02
0.031822,-0.16,0.26,0.02
0.032134,-0.17,0.28,0.01
0.032422,-0.17,0.29,0.00
0.032649,-0.17,0.30,-0.00
0.032860,-0.17,0.30,-0.01
0.036912,-0.17,0.30,-0.02
0.037298,-0.16,0.30,-0.02
0.043330,-0.16,0.30,-0.03
0.043616,-0.16,0.29,-0.04
0.043804,-0.15,0.29,-0.04
0.044477,-0.15,0.28,-0.05
0.049625,-0.14,0.27,-0.05
0.049911,-0.14,0.26,-0.06
0.054732,-0.14,0.26,-0.06
0.054955,-0.14,0.24,-0.06
0.055137,-0.14,0.24,-0.07
0.056537,-0.13,0.24,-0.06
0.058737,-0.13,0.23,-0.03
0.060638,-0.13,0.22,-0.03
0.062896,-0.13,0.21,-0.02
0.064643,-0.13,0.19,-0.01
0.067230,-0.13,0.18,-0.01
0.069184,-0.13,0.16,-0.02
0.071080,-0.12,0.13,-0.02
0.072909,-0.12,0.12,-0.01
0.075291,-0.11,0.09,-0.01
0.078290,-0.11,0.07,-0.00
0.078843,-0.09,0.05,0.00
0.083291,-0.09,0.03,0.01
0.083876,-0.08,0.03,0.01
0.084242,-0.08,0.01,0.01
0.087607,-0.07,-0.01,0.01
0.089590,-0.07,-0.02,0.01
0.091455,-0.07,-0.03,0.01
0.092783,-0.06,-0.05,0.01
0.094812,-0.06,-0.05,0.00
0.098858,-0.06,-0.06,-0.00
0.099309,-0.05,-0.07,-0.01
0.101525,-0.06,-0.08,-0.01
0.102935,-0.06,-0.08,-0.01
0.105160,-0.06,-0.08,-0.02
0.106989,-0.05,-0.08,-0.03
0.108805,-0.05,-0.07,-0.03
0.110878,-0.05,-0.07,-0.03
0.113301,-0.05,-0.07,-0.04
0.117144,-0.05,-0.06,-0.04
0.117535,-0.05,-0.05,-0.04
0.119225,-0.05,-0.04,-0.05
0.122457,-0.05,-0.03,-0.05
0.122976,-0.05,-0.01,-0.06
0.124598,-0.05,-0.00,-0.06
0.126498,-0.06,0.03,-0.07
0.128224,-0.05,0.04,-0.07
0.132653,-0.05,0.07,-0.08
0.132966,-0.06,0.11,-0.08
0.135073,-0.06,0.13,-0.08
0.136936,-0.06,0.16,-0.09
0.138754,-0.07,0.20,-0.08
0.140438,-0.07,0.21,-0.07
0.142463,-0.06,0.22,-0.04
0.144376,-0.06,0.25,-0.01
0.147415,-0.06,0.26,0.01
0.148484,-0.05,0.27,0.05
0.150620,-0.05,0.27,0.07
0.152829,-0.05,0.27,0.07
0.154930,-0.05,0.25,0.07
0.156580,-0.04,0.23,0.08
0.158670,-0.04,0.22,0.08
0.160502,-0.03,0.20,0.08
0.162961,-0.02,0.21,0.08
0.164860,-0.02,0.21,0.08
0.166291,-0.01,0.23,0.07
0.169319,-0.01,0.26,0.06
0.171437,-0.01,0.27,0.05
0.173132,-0.02,0.29,0.03
0.174904,-0.01,0.30,0.01
